Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AUS,0.4714002348503231,0.4707263583489968,0.4689665445181507,0.4657832791615958,0.4687910440685965,0.4724947714472008,0.4751664414493579,0.4757916056750117,0.4792096564818663,0.4805774708832156,0.4869874782981458,0.4919000086254889,0.4988542334959349,0.4984439966446968,0.4982677736051217
AUT,0.5253657959262131,0.5188861048382063,0.5182635050843084,0.5137932183916435,0.5074877738431263,0.498177527456957,0.49014092991375996,0.4876778145341335,0.4766806700519192,0.4895189762939373,0.4822107663030285,0.4752381398644517,0.4736267405673818,0.4755502522716936,0.481286023285281
BEL,0.4326022350391585,0.430752618808372,0.4435093901738965,0.4520528279701739,0.4467286474106001,0.4432257763012876,0.4332519214728755,0.430794787013156,0.4225694895827166,0.4481940624826534,0.4340643250315976,0.41862275785616826,0.4208435923553047,0.4275154059968048,0.4286678286153455
BRA,0.4987440183361274,0.492018963003781,0.4914090761773296,0.4838125080682544,0.480741476072323,0.4760612358378394,0.4777585581748563,0.4835691513350931,0.4742412121789369,0.5008962472030232,0.5005391882433212,0.500066970603005,0.4973687970428109,0.4993282157418955,0.5049164427279109
BGR,0.4357913962589109,0.42858522729277404,0.4420921423322771,0.4280073752174968,0.40271642660033663,0.3929417105397301,0.3784518579283647,0.3776335452922976,0.3783528682942925,0.4124295516168704,0.4178753181443652,0.4101725549711263,0.4056126176134361,0.41458187056588064,0.4015600992035753
EST,0.4299357152429567,0.4240739294598181,0.4253580443707329,0.4365239458118768,0.4299540344144648,0.43199559781216,0.4364729779201543,0.4439056519636533,0.4433590362205458,0.4637378366605207,0.4385556580312141,0.425190424462604,0.4214303076113472,0.42333076033111744,0.4293756295077082
CAN,0.5113409122558854,0.5115713108235663,0.5139259945663677,0.5164116861440994,0.5147992837049712,0.5160557300104869,0.5174502563920387,0.5195034685547052,0.5195034686189713,0.519503468643445,0.5173430365727536,0.5158040541130725,0.5142613801334662,0.5155363473826218,0.5152000600804071
CHN,0.3684126966442783,0.3762467768200632,0.3813564067532861,0.3682898421731664,0.3552224680826446,0.3365356966679321,0.3317833060189573,0.32803996922833273,0.330264844470923,0.3318647971946308,0.32852779543739385,0.325664820376426,0.3250387358035225,0.32088643976799075,0.323954949355632
HRV,0.489023825297754,0.4903257815843539,0.4887562687278886,0.484435151874957,0.4824743265386181,0.4760125082499816,0.4697870516737659,0.469248483477085,0.4751913248430618,0.4943847749629802,0.5027741152288739,0.4945774908454248,0.4893540077921153,0.4931252862041186,0.4943613901577368
CYP,0.5215247457449869,0.5275107045244793,0.5270824926163539,0.5300913597443566,0.5423642755040047,0.5473068300509906,0.5417919774147277,0.5344889426855657,0.528703922058283,0.5311243360565037,0.5419386750649942,0.5424350092094575,0.5402971506501475,0.5300631264277997,0.5336336646983082
CZE,0.4093938491602458,0.4074363210659306,0.4123748142487276,0.4009861952744896,0.3941440973198107,0.3945976830811544,0.3818220929447332,0.3765971118127903,0.3797525781389163,0.4015207101664977,0.3869955453494824,0.3756155734078128,0.3783879135043081,0.3794077275266495,0.3776055505957421
DNK,0.5181693977769489,0.5092793053939456,0.5120204263545194,0.5170936917977923,0.5173476944645273,0.5001279808296145,0.4888643582372584,0.4771038278388696,0.4731423654453086,0.4934536899894344,0.4987948884018418,0.4865136843191104,0.4828983495225477,0.4866167404427527,0.4879377632792306
FIN,0.46456702119781895,0.4809800397313405,0.4825780351111606,0.4800771068241717,0.4759833416807888,0.4663307152064575,0.4526162860649229,0.4557502777878342,0.4503420131730576,0.4674148547409188,0.4604811383413448,0.4481268238820096,0.44654312834259213,0.4525972694740065,0.4569799169781065
FRA,0.509878678999169,0.5079008148219554,0.5133558832849691,0.5182406481837836,0.5166529344978344,0.5110634765116374,0.504788639492602,0.5040358742859473,0.5030590606413766,0.5177328951740945,0.5083464254883917,0.5018470289886139,0.500780126217236,0.5040477561752258,0.5055129947457156
DEU,0.5093720560719289,0.509854781957162,0.5196473766321403,0.5128867311553533,0.5092993731205621,0.4995691934598927,0.49196272482302206,0.4860908993593047,0.4790112684679686,0.4934415286406112,0.4861045246141749,0.47498059449697494,0.4811823096797523,0.4872315061450945,0.4931233924221398
GRC,0.5451749265724868,0.5444620920494604,0.5440061054479033,0.5591602063393365,0.5605317050764141,0.556210363238635,0.5453844145129578,0.5433785221053457,0.5533214320757402,0.5651485143861524,0.5629569209184132,0.5627328072384428,0.5506143822660478,0.5541871324968403,0.5552217712139929
HUN,0.4098134961246107,0.4205345104956354,0.4373734327637207,0.4358721161919645,0.4359829709324197,0.4268541754853469,0.4159926093398551,0.41764977350833865,0.412374016447937,0.4266499520338606,0.4166006355298916,0.4091257545909237,0.4139212649740813,0.4190148576155317,0.4101171313509212
IND,0.5136510545398059,0.508586096988205,0.5019615239815312,0.4932211215290963,0.4853754572218077,0.4887201524642405,0.4809499640823609,0.4827892572367934,0.4841572968936696,0.4894915116933967,0.4848889218001763,0.4770048260456438,0.4900809547807626,0.4988827916935311,0.5006402947494829
IDN,0.5039704078697165,0.5004513248226375,0.4955098395594828,0.4970461232373194,0.4981200030038554,0.5047945928802067,0.5037392303197796,0.5065786847161656,0.5039008751649972,0.5040258509645341,0.5094530444831823,0.5115250417082752,0.5106141295345127,0.5108677008135916,0.5068231886751056
IRL,0.4360635411523275,0.43655614416500416,0.4438665415763329,0.4374810954602144,0.4321796202055404,0.42603677635454706,0.4135668789002918,0.4120674477193416,0.3949965903004076,0.4046715725194093,0.4312457353915038,0.4645120820726403,0.4568155806047288,0.452520978565565,0.4468550031551664
ITA,0.4633940301031657,0.4648721017216677,0.4678084422348763,0.470809258152982,0.4690003259862629,0.4633926493106995,0.4543863203715709,0.4506338574116961,0.4511036574195185,0.4770947028388397,0.463256756988096,0.45779361193893103,0.4627168903826358,0.4687389048179664,0.4724219681351154
JPN,0.5336320005794633,0.5319024917005011,0.53558187618622,0.5353500684214761,0.5316271327114748,0.5247625704100601,0.5144929084678059,0.5077877536922941,0.4949277465039065,0.5269199516210946,0.5244919514817447,0.5179870402745665,0.5172536664574711,0.5139946512251209,0.5119416780160715
KOR,0.4289688059502367,0.43362800061696266,0.4356806584756535,0.43409586241294185,0.4238479623926207,0.41657938197349537,0.4086330386103568,0.4028044646092279,0.3751465414936237,0.3834411629871273,0.3756885305647613,0.3592936150922201,0.3604343983595857,0.3719839630004184,0.37812821444786615
LVA,0.4514116631360068,0.4592970583419746,0.4698718442612426,0.460402885667735,0.4504893970653041,0.4463497459396995,0.4304680896804081,0.4475496730458741,0.451095015036202,0.4543995204365189,0.4272248860411112,0.4277709740051295,0.4240063356512948,0.42726947479781335,0.4287884241750388
LTU,0.5292840583204825,0.5297570902123424,0.5298343354863461,0.5383149681117481,0.5309053933603844,0.5197938150786218,0.5116783409426691,0.521969844251305,0.4961261627329597,0.5299177980963924,0.5082515372860533,0.5003902118165738,0.5076461495333222,0.5079601760666993,0.510327486051552
LUX,0.3750472069299454,0.3725587315271756,0.38365741902440864,0.3863089599600753,0.3619221891123167,0.3416286506142053,0.3203152787882607,0.30635803843015064,0.3066911740174085,0.3294398215583997,0.31031669072105666,0.3074858607471241,0.29954771125925905,0.2930177281037368,0.2747835581490233
MLT,0.3896090575025926,0.4076908674985123,0.4137480213104469,0.4115984035152445,0.406006781233242,0.3967497115975036,0.3679165772376533,0.3600421012117371,0.3322414324930786,0.3287195801606312,0.3277275021028005,0.3183536189057385,0.3151812781523897,0.32369152562698683,0.3270881006704137
MEX,0.5618698603160179,0.5732793239664835,0.5812178973806366,0.5821540595619116,0.5816310751322459,0.5774681657767401,0.5798578946936026,0.5784119819385105,0.5773557925773044,0.5820655001860465,0.5784902462170894,0.5776622320518106,0.5742221627647062,0.574838009007206,0.5762770216800414
NLD,0.4785351295820353,0.4774737088314937,0.4854071606097214,0.4907383830229874,0.4887701998630651,0.4839484137233939,0.4841434040199678,0.4835684854634638,0.4790297014154082,0.4847892916428682,0.4815891439374767,0.4680098900690722,0.4649106462304892,0.4695727750475572,0.4743100441128785
NOR,0.5461340230879465,0.5414281388015246,0.5387651116643843,0.5437566023723683,0.5500649743049121,0.5563326495996297,0.5513015200894986,0.5338392354019488,0.5407486109070154,0.5362605212116747,0.5450988576095416,0.5465511656296813,0.5487581653935648,0.5455932567658165,0.5378319547614948
POL,0.4561206405899754,0.4538039012631928,0.4568691766552545,0.4516235577589269,0.4425586671203703,0.4434696681332915,0.4326992730279849,0.4243928764847975,0.4231133210395413,0.44707705822827176,0.4384274430491561,0.4273777746696265,0.43486310303507,0.4406670046102731,0.4385167141606957
PRT,0.4590745442965066,0.4598809179533394,0.47060515141210496,0.4756745066747648,0.471717647632109,0.4683534671296864,0.4692754289829688,0.4688241473535691,0.4618078837289968,0.4885013384835367,0.4820030596326187,0.4719520442920202,0.4762232449783735,0.4864818862188429,0.4863846082796069
ROU,0.4653403899371417,0.4654166019552219,0.46517280035755104,0.4633237037609871,0.4592896434132303,0.4686443155068113,0.4673013325963386,0.4776776190526736,0.4747434230998882,0.47351989449316495,0.4590708975307816,0.4384313375618939,0.4277351483512401,0.4374728292149329,0.4427779723139596
RUS,0.5212147717706358,0.5012368085317112,0.5131097400997269,0.4992783618241655,0.5038471891830795,0.5001989339665915,0.4970883061444816,0.493219388965801,0.4939720229054551,0.4946900180916817,0.4919881065077996,0.4915036565059981,0.5045340155286703,0.4927292412320471,0.4802892747356202
SVK,0.38441077756947306,0.3912083217280084,0.3907478087927459,0.3897403588347974,0.40575669033613504,0.40475161082026706,0.3978928590011816,0.3986873707923475,0.3954327085654628,0.4178090026058492,0.4069962811043812,0.38930641321610254,0.3904863557597003,0.3949167442378905,0.3973393976276232
SVN,0.4585235454107614,0.4645571533946674,0.4659626248796233,0.4698311600515854,0.4641759819862084,0.4589823944406314,0.44848855040196384,0.4374653539228697,0.4376496368514721,0.4628334091058229,0.4486794356691821,0.4473004094700574,0.4497077934652014,0.4509542696066442,0.4543737749169077
ESP,0.4860345706250202,0.4832009031541135,0.4746472907657325,0.4701272155233949,0.461664051529086,0.44954199644097903,0.4383396999289647,0.4390940407749564,0.4553391831337269,0.4898604847310984,0.4856526099947258,0.483829415531591,0.4871258788604764,0.4903967381564962,0.4906054832526087
SWE,0.4873146926077248,0.4859523639513602,0.4933027667713372,0.501873859352206,0.4981515536777805,0.4873426643391296,0.4842943844663625,0.4810027269624549,0.4749398549018013,0.4886606385403802,0.4882685216330406,0.4841501647541989,0.4865519099052346,0.4967782932523051,0.4981580215070129
CHE,0.4931531452619672,0.4950960542938283,0.4916920857625764,0.4943843165281646,0.48950611846097103,0.4864407262738143,0.4841880418254907,0.4812547579152288,0.4789421597958892,0.4827425216904386,0.4864179963535604,0.4874633327858482,0.4843381157296424,0.4858419135737872,0.4865591006527806
TUR,0.4593351571568276,0.4640469361626289,0.4659344041041077,0.4657354977074779,0.4676008670208349,0.4681877606242609,0.4686853920458325,0.472503048005233,0.47615063876273295,0.4855309160254731,0.4801387417186945,0.4742193203414553,0.4776658301943015,0.4777312366492645,0.4757133978396618
GBR,0.5038019790113809,0.5019449532768607,0.5047824381569413,0.5112078691406879,0.5108341289949969,0.5198665452599431,0.5081051370680902,0.5037198496546903,0.5037735980850668,0.5037093509080567,0.5053984122700653,0.5034258032316269,0.5055338100055863,0.5033333453857943,0.5046113486327843
USA,0.5540009318836169,0.563100119503043,0.5724906906161755,0.5716722257023275,0.5657354765137227,0.5568264657319915,0.5567307157217216,0.55361040981846,0.5486748650537621,0.5847672938497481,0.5734902612738304,0.5635510682698592,0.5636224344940041,0.5634862562158561,0.560138746466334
